id,examTag,Teacher,QuestionID,Question,QuestionType,ShowAns,QuestionSolution,FullTagWeights,MaxGrade,Class
2657,test,Jennifer Lin___Status:True,1,1.Write the Java code that calculates the value of S (a decimal number) in the following equation. Use math methods in the Java library.  Variable names must be descriptive. S = (   ( ∑ Ai2  -  ( (∑ Ai)2  / x )  )  /  ( x – 1)   )1/2,1,TRUE,"Math.sqrt( (sumOfASquared – (Math.pow(sumOfA, 2) / x) ) / (x – 1) )","[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",6,Programming Language II_649
2681,Exam2,Jennifer Lin___Status:True,1,1.Write the Java code that calculates the value of S (a decimal number) in the following equation. Use math methods in the Java library.  Variable names must be descriptive. S = (   ( ∑ Ai2  -  ( (∑ Ai)2  / x )  )  /  ( x – 1)   )1/2,1,TRUE,"Math.sqrt( (sumOfASquared – (Math.pow(sumOfA, 2) / x) ) / (x – 1) )","[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmetic Operations""}]",6,Programming Language II_649
2682,Exam2,Jennifer Lin___Status:True,2,2.Please convert the following JAVA expression to Math expression. y  =  ( - b  + Math.sqrt( b * b – 4  * a * c) ) / ( 2 * a ),1,TRUE,(-b + (b^2 - 4*a*c)^(1/2)) / 2*a,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmetic Operations""}]",6,Programming Language II_649
2683,Exam2,Jennifer Lin___Status:True,3,"3.In assignment #2, the public interface of the Easter class contains a class method called calculateEaster(aYear):String.  Write the code in the EasterTester class that calls this method for the year 2000 and displays the result to the console",1,TRUE,System.out.println(Easter.calculateEaster(2000)); ,"[{""TagWeight"": ""2"", ""TagName"": ""static method""}, {""TagWeight"": ""1"", ""TagName"": ""no system.out.println""}, {""TagWeight"": ""2"", ""TagName"": ""using object to call""}, {""TagWeight"": ""1"", ""TagName"": ""input parameter issue""}]",6,Programming Language II_649
2684,Exam2,Jennifer Lin___Status:True,4,"4.Given these variables, int day = 22 ; String month = “May” ; int year = 2015 ; Use string concatenation to write a single Java statement that displays the following to the console:   Hugh was born on May 22, 2015 ",1,TRUE,"System.out.println(“Your birthday is ”+month+” “+day+”, ”+year);","[{""TagWeight"": ""2"", ""TagName"": ""String concatenation""}, {""TagWeight"": ""1"", ""TagName"": ""no system.out.println""}, {""TagWeight"": ""1"", ""TagName"": ""each variable""}]",6,Programming Language II_649
2685,Exam2,Jennifer Lin___Status:True,5,5.Write the method (hint : isValidGrade)  in assignment #3 that determines whether a grade is within a valid grade range.  Your code may assume that appropriate constants for the max and min grades have been declared in the class:,1,TRUE,public boolean isValidGrade(double aGrade){ return (aGrade >= MIN_GRADE && aGrade <= MAX_GRADE);},"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""if else""}, {""TagWeight"": ""2"", ""TagName"": ""constants""}, {""TagWeight"": ""2"", ""TagName"": ""Access Control""}]",6,Programming Language II_649
2686,Exam2,Jennifer Lin___Status:True,6,6.Add Javadoc annotations to the method written in #2.  Simply rewrite it as an empty method and add the annotations here.,1,TRUE,"/** Determines whether a grade is within acceptable range
@param aGrade grade entered by user
@return grade is valid when MIN_GRADE <= aGrade <= MAX_GRADE
*/","[{""TagWeight"": ""2"", ""TagName"": ""no method purpose""}, {""TagWeight"": ""2"", ""TagName"": ""no param""}, {""TagWeight"": ""2"", ""TagName"": ""no return""}]",6,Programming Language II_649
2687,Exam2,Jennifer Lin___Status:True,7,"7.Using the following grading scale and the method written in #2 to ensure only valid grades are counted, write the decision logic that correctly counts the number of valid letter grades in each grade category.  You do NOT need to write an entire method, only the logic: A_MIN <=  A  <= MAX_GRADE B_MIN <=  B  < A_MIN C_MIN <=  C  < B_MIN MIN_GRADE <=  F  < C_MIN",1,TRUE,"if(isValidGrade(aGrade)){
if(aGrade >= A_MIN)
numA++;
else if(aGrade >= B_MIN)
numB++;
else if(aGrade >= C_MIN)
numC++;
else
numF++;
}
","[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""1"", ""TagName"": ""Access control""}, {""TagWeight"": ""2"", ""TagName"": ""if else""}, {""TagWeight"": ""1"", ""TagName"": ""variables""}]",6,Programming Language II_649
2688,Exam2,Jennifer Lin___Status:True,8,"8.Given the following code, write a while loop that prompts a user to input a number from 0 to 100 and displays the number to the console.  The loop continues until the user enters a 'q' or 'Q'.  Must use the method of the String class that determines String equality regardless of case! String msg = “Please enter a number from 0 to 100 or Q to quit”;
JoptionPane.showInputDialog(msg): String
Double.parseDouble(input): double
",1,TRUE,"String input = “”;
while(!input.equalsIgnoreCase(“Q”))
{
input  = JoptionPane.showInputDialog(msg);
if(!input.equalsIgnoreCase(“Q”))
{
double aNumber = Double.parseDouble(input);
System.out.println(aNumber);
}
}
","[{""TagWeight"": ""2"", ""TagName"": ""if else""}, {""TagWeight"": ""2"", ""TagName"": ""while""}, {""TagWeight"": ""2"", ""TagName"": ""String method""}]",6,Programming Language II_649
2689,Exam2,Jennifer Lin___Status:True,9,"9.Write the following for loop as a while loop:
for(int i = 0; i <= 10; i++)
{
System.out.println(i);
}
",1,TRUE,"int i = 0;
while(i <= 10)
{
System.out.println(i);
i++;
}
","[{""TagWeight"": ""2"", ""TagName"": ""while""}, {""TagWeight"": ""2"", ""TagName"": ""variables""}]",6,Programming Language II_649
2690,Exam2,Jennifer Lin___Status:True,10,10.Write a for loop that calculates aNumber where aNumber is a positive integer.  You may assume  aNumber has been initialized. Display the final result to the console:,1,TRUE,"int factorial = 1;
for(int i = 1; i <= aNumber; i++)
{
factorial = factorial * i;
}
System.out.println(factorial);
","[{""TagWeight"": ""2"", ""TagName"": ""loop""}, {""TagWeight"": ""2"", ""TagName"": ""system.out.println""}, {""TagWeight"": ""2"", ""TagName"": ""arithmatics""}]",6,Programming Language II_649
2691,Exam2,Jennifer Lin___Status:True,11,"11.Rewrite the following do loop into a while loop.int n = 1;
double x = 0;
double s;
do
{
s = 1.0 / (n * n);
x = x + s;
n++;
}while (s > 0.01);
",1,TRUE,"int n = 1;
double x = 0;
double s = 1.0 / (n * n);
x = x + s;
n++;
while (s > 0.01){
s = 1.0 / (n * n);
x = x + s;
n++;
}
","[{""TagWeight"": ""2"", ""TagName"": ""while""}, {""TagWeight"": ""2"", ""TagName"": ""variables""}]",6,Programming Language II_649
