id,Grader,Class,Qid,CommentByGrader,Student,GradeActual,Grade,TagWeights,QuestionImg,Finish/Graded Already,NotesOfStudent,Bookmarked,MarkedAsLearnedByStudent
35932,,Programming Language II_656,disable2017-05-23 23:51:58.717000test3/Programming Language II_649(2705)_Q1,,undefine1(17474349_1289030764495943_1348214767_o.jpg),6,6,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/test3/undefine1(17474349_1289030764495943_1348214767_o.jpg)/17474349_1289030764495943_1348214767_o.jpg,FALSE,,FALSE,FALSE
35933,,Programming Language II_656,disable2017-05-23 23:51:58.717000test3/Programming Language II_649(2706)_Q2,,undefine1(17474349_1289030764495943_1348214767_o.jpg),6,6,"[{""TagWeight"": ""1"", ""TagName"": ""Method problem""}, {""TagWeight"": ""3"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/test3/undefine1(17474349_1289030764495943_1348214767_o.jpg)/17474085_1289030751162611_1216495402_o.jpg,FALSE,,FALSE,FALSE
35934,,Programming Language II_656,disable2017-05-23 23:51:58.717000test3/Programming Language II_649(2705)_Q1,,undefine1(7498f_0001 copy.jpg),6,6,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/test3/undefine1(7498f_0001copy.jpg)/7498f_0001copy.jpg,FALSE,,FALSE,FALSE
35935,,Programming Language II_656,disable2017-05-23 23:51:58.717000test3/Programming Language II_649(2706)_Q2,,undefine1(7498f_0001 copy.jpg),6,6,"[{""TagWeight"": ""1"", ""TagName"": ""Method problem""}, {""TagWeight"": ""3"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/test3/undefine1(7498f_0001copy.jpg)/1931984_948411108557912_121828268_n.jpg,FALSE,,FALSE,FALSE
35936,,Programming Language II_656,disable2017-05-23 23:51:58.717000test3/Programming Language II_649(2705)_Q1,,undefine1(File.jpg),6,6,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/test3/undefine1(File.jpg)/File.jpg,FALSE,,FALSE,FALSE
35937,,Programming Language II_656,disable2017-05-23 23:51:58.717000test3/Programming Language II_649(2706)_Q2,,undefine1(File.jpg),6,6,"[{""TagWeight"": ""1"", ""TagName"": ""Method problem""}, {""TagWeight"": ""3"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/test3/undefine1(File.jpg)/New_pa27.jpg,FALSE,,FALSE,FALSE
35938,,Programming Language II_656,disable2017-05-23 23:51:58.717000test3/Programming Language II_649(2707)_Q3,,undefine1(File.jpg),6,6,"[{""TagWeight"": ""0"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/test3/undefine1(File.jpg)/0-ea-d2-8dd732897aa0919b258960ef82578866.jpg,FALSE,,FALSE,FALSE
35939,,Programming Language II_657,disable2017-05-30 22:45:03.480000testt/Programming Language II_649(2710)_Q2,,undefine1(File.jpg),6,6,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/testt/undefine1(File.jpg)/File.jpg,FALSE,,FALSE,FALSE
35940,,Programming Language II_657,disable2017-05-30 22:45:03.480000testt/Programming Language II_649(2710)_Q2,,undefine1(File.jpg),6,6,"[{""TagWeight"": ""1"", ""TagName"": ""Method problem""}, {""TagWeight"": ""3"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/testt/undefine1(File.jpg)/0-ea-d2-8dd732897aa0919b258960ef82578866.jpg,FALSE,,FALSE,FALSE
35941,,Programming Language II_657,disable2017-05-30 22:45:03.480000testt/Programming Language II_649(2711)_Q3,,undefine1(File.jpg),6,6,"[{""TagWeight"": ""0"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/testt/undefine1(File.jpg)/18337026_1338862312846121_239325908_n.jpg,FALSE,,FALSE,FALSE
35942,,Programming Language II_657,disable2017-05-30 22:45:03.480000testt/Programming Language II_649(2712)_Q4,,undefine1(File.jpg),6,6,"[{""TagWeight"": ""0"", ""TagName"": ""Method problem""}, {""TagWeight"": ""3"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/testt/undefine1(File.jpg)/18254529_1336474393084913_677598440_n.jpg,FALSE,,FALSE,FALSE
35943,,Programming Language II_657,disable2017-05-30 22:45:03.480000testt/Programming Language II_649(2709)_Q1,,undefine5(18159674_1328971480501871_919294662_o.jpg),6,6,"[{""TagWeight"": ""2"", ""TagName"": ""Method problem""}, {""TagWeight"": ""2"", ""TagName"": ""Arithmatics""}]",spring2017/ProgrammingLanguageII/testt/undefine5(18159674_1328971480501871_919294662_o.jpg)/18159674_1328971480501871_919294662_o.jpg,FALSE,,FALSE,FALSE
