id,Html,RedirectHtml,User,User2,Action,Time
97438,/student/modal/40716/,/student/view/Programming%20Language%20II/finals/,5306025,,17,7/11/2017 7:42
97437,/student/view/Programming%20Language%20II/finals/,/student/modal/40716/,5306025,,14,7/11/2017 7:42
97436,/student/view/Programming%20Language%20II/finals/,/student/modal/40725/,5306025,,14,7/11/2017 7:41
97435,/student/view/Programming%20Language%20II/finals/,/student/modal/40724/,5306025,,14,7/11/2017 7:41
97434,/student/view/Programming%20Language%20II/finals/,/student/modal/40723/,5306025,,14,7/11/2017 7:40
97433,/student/view/Programming%20Language%20II/finals/,/student/modal/40722/,5306025,,14,7/11/2017 7:40
97432,/student/view/Programming%20Language%20II/finals/,/student/modal/40721/,5306025,,14,7/11/2017 7:40
97431,/student/view/Programming%20Language%20II/finals/,/student/modal/40720/,5306025,,14,7/11/2017 7:39
97430,/student/view/Programming%20Language%20II/finals/,/student/modal/40719/,5306025,,14,7/11/2017 7:39
97429,/student/view/Programming%20Language%20II/finals/,/student/modal/40718/,5306025,,3,7/11/2017 7:37
97428,/student/modal/40716/,/student/view/Programming%20Language%20II/finals/,5306025,,17,7/11/2017 7:36
97427,/student/view/Programming%20Language%20II/finals/,/student/modal/40716/,5306025,,3,7/11/2017 7:35
97426,/student/modal/40716/,/student/view/Programming%20Language%20II/finals/,5306025,,17,7/11/2017 7:20
97425,/student/view/Programming%20Language%20II/finals/,/student/modal/40716/,5306025,,3,7/11/2017 7:20
97424,/student/modal/40723/,/student/view/Programming%20Language%20II/finals/,5306025,,17,7/11/2017 7:20
97423,/student/view/Programming%20Language%20II/finals/,/student/modal/40723/,5306025,,3,7/11/2017 7:20
97422,/student/view/Programming%20Language%20II/Midterm_2/,/student/view/Programming Language II/finals/,5306025,,2,7/11/2017 7:19
97421,/student/view/Programming%20Language%20II/Midterm_2/,/student/view/Programming Language II/Midterm_2/,5306025,,2,7/11/2017 7:19
97420,/student/login/,/student/view/Programming Language II/Midterm_2/,5306025,,11,7/11/2017 7:19
97398,/Programming%20Language%20II/exams/,/finals/view/1,,Jennifer Lin___Status:True,16,7/7/2017 7:13
97397,/student/view/Programming%20Language%20II/Midterm_2/,/student/logout/,5306027,,12,7/6/2017 1:38
97396,/student/login/,/student/view/Programming Language II/Midterm_2/,5306027,,11,7/6/2017 1:38
97395,/student/login/,/student/view/Programming Language II/Midterm_2/,5306038,,11,7/5/2017 8:59
97394,/student/viewimportant/Programming%20Language%20II/Midterm_2/,/student/viewcombine/Programming%20Language%20II/Midterm_2/,3306058,,7,7/3/2017 22:55
97393,/student/viewunknow/Programming%20Language%20II/Midterm_2/,/student/viewimportant/Programming%20Language%20II/Midterm_2/,3306058,,8,7/3/2017 22:55
97392,/student/view/Programming%20Language%20II/Midterm_2/,/student/viewunknow/Programming%20Language%20II/Midterm_2/,3306058,,9,7/3/2017 22:55
97391,/student/viewunknow/Programming%20Language%20II/Midterm_2/,/student/view/Programming Language II/Midterm_2/,3306058,,2,7/3/2017 22:55
97390,/student/view/Programming%20Language%20II/Midterm_2/,/student/viewunknow/Programming%20Language%20II/Midterm_2/,3306058,,9,7/3/2017 22:55
97389,/student/view/Programming%20Language%20II/Midterm_2/,https://goo.gl/forms/Ms9K2C3AYeVZiJiD3,3306058,,12,7/3/2017 22:55
97388,/student/modal/38391/,/student/view/Programming%20Language%20II/Midterm_2/,3306058,,17,7/3/2017 22:55
97387,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38391/,3306058,,13,7/3/2017 22:55
97386,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38392/,3306058,,13,7/3/2017 22:54
97385,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38393/,3306058,,13,7/3/2017 22:54
97384,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38394/,3306058,,13,7/3/2017 22:54
97383,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38395/,3306058,,13,7/3/2017 22:54
97382,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38396/,3306058,,13,7/3/2017 22:54
97381,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38397/,3306058,,3,7/3/2017 22:54
97380,/student/login/,/student/view/Programming Language II/Midterm_2/,3306058,,11,7/3/2017 22:54
97314,/student/view/Programming%20Language%20II/Midterm_2/,/student/viewcombine/Programming%20Language%20II/Midterm_2/,5306058,,7,7/2/2017 8:02
97313,/student/view/Programming%20Language%20II/Midterm_2/,https://goo.gl/forms/Ms9K2C3AYeVZiJiD3,5306058,,12,7/2/2017 8:01
97312,/student/login/,/student/view/Programming Language II/Midterm_2/,5306058,,11,7/2/2017 8:01
97311,/student/login/,/student/view/Programming Language II/Midterm_2/,5306046,,11,7/2/2017 0:05
97310,/student/view/Programming%20Language%20II/Midterm_2/,/student/logout/,5306027,,12,7/1/2017 23:03
97309,/student/login/,/student/view/Programming Language II/Midterm_2/,5306027,,11,7/1/2017 23:03
97308,/student/modal/39111/,,5306087,,1,7/1/2017 20:03
97307,/student/login/,/student/view/Programming Language II/Midterm_2/,5306087,,11,7/1/2017 20:03
97306,/student/login/,/student/view/Programming Language II/Midterm_2/,5306012,,11,7/1/2017 17:06
97305,/student/view/Programming%20Language%20II/Final_3/,/student/view/Programming Language II/Midterm_2/,5306012,,2,7/1/2017 8:09
97304,/student/view/Programming%20Language%20II/Midterm_2/,/student/view/Programming Language II/Midterm_2/,5306012,,2,7/1/2017 8:08
97303,/student/modal/38614/,/student/view/Programming%20Language%20II/Midterm_2/,5306012,,17,7/1/2017 8:08
97302,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38614/,5306012,,3,7/1/2017 8:08
97301,/student/modal/38620/,/student/view/Programming%20Language%20II/Midterm_2/,5306012,,17,7/1/2017 8:08
97300,/student/view/Programming%20Language%20II/Midterm_2/,/student/modal/38620/,5306012,,3,7/1/2017 8:07
